codeexterne,type_organisme,abreviation,denomination_sociale,denomination_commerciale,numeroidentification,localisation_potentielle,intitule,duree,qualifiante,certifiante,public,condition_specifique,session_codeexterne,session_datedebut,session_datefin,session_continue,sheet,in_scope
0096-0001-0226,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,technologies de virtualisation vmware 6 x hyper v,35 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une connaissance du type Administration Système du type Windows 2008R2 / Linux ou expérience équivalente.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux administrateurs de système ou de réseaux qui souhaitent se lancer dans l'administration d'une plate-forme de virtualisation</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0247,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,administration sql server,28 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une bonne connaissance de SQL.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs, administrateurs systèmes ou administrateurs de base de données ayant en charge la gestion de serveurs SQL</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0248,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,administration windows 10,21 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux administrateurs de système ou de réseaux responsables d'une plate-forme réseau Windows Server 2003/2008 et Windows XP/Windows Vista.</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0250,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,administration windows server,35 Heures,NON,NON,travailleur,"<ul>
<li>Familiarisation avec l'interface de travail de Microsoft Windows Vista/Seven/8.</li>
<li>Avoir une connaissance de base de la gestion de clients Windows Vista/Seven/8.</li>
<li>Avoir déjà géré un système multi-users est un plus.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux administrateurs de système ou de réseaux responsables d'une plate-forme réseau Windows Server 2012 et R2.</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0254,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,initiation au langage html 5 fad,15 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une connaissance de base d’un système d’exploitation et utilisation élémentaire du courrier électronique.</li>
<li>Le participant doit avoir accès à un ordinateur (PC ou Mac), une connexion Internet haut débit et un navigateur récent (Microsoft Internet Explorer, Mozilla Firefox, Apple Safari, Google Chrome).</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs et gestionnaires de site Web</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0258,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,initiation au langage php fad,12 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une connaissance du langage HTML</li>
<li>Avoir une connaissance de base de la programmation</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs d'applications</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0276,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,business analysis,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysis - data scientists - bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0279,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,python pour machine learning,28 Heures,NON,NON,travailleur,"<ul>
<li>Avoir des bonnes bases de statistiques et de data mining ou avoir suivi la formation Statistiques et Probabilités et introduction au data mining</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data scientists</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0284,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,developpement avec sql,21 Heures,NON,NON,travailleur,"<ul>
<li>Disposer de bonnes connaissances en SQL ou avoir suivi la formation Interrogation des données : SQL et NoSQL.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux bi consultants, data analysts, data scientists</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0287,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,mongo db,21 Heures,NON,NON,travailleur,"<ul>
<li>Connaître le modèle relationnel ou avoir suivi la formation Modélisation des données relationnelles, dimensionnelles et big data.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux bi consultants, data analysts, data scientists</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0289,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,introduction au data mining,14 Heures,NON,NON,travailleur,"<ul>
<li>Avoir des bonnes bases de statistiques ou avoir suivi la formation Statistiques et Probabilités.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data scientists</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0295,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,powerbi,21 Heures,NON,NON,travailleur,"<ul>
<li>Disposer de bonnes connaissances en SQL et en BI ou avoir suivi la formation Interrogation des données : SQL et NoSQL et Principes et concepts de la BI.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists - bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0301,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,uml,21 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists - bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0302,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,itil les fondamentaux introduction a itil v4 adoptez les meilleures pratiques pour la gestion des services informatiques,7 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux chefs de projet ou futurs chefs de projets informatiques qui souhaitent aborder les concepts pratiqués de manière théorique. Ils s’adressent également à toutes personnes impliquées dans la coordination d’un projet : architectes logiciel, analystes logiciel, etc</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0321,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,ms project,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux business analystes, chefs de projets et toutes personnes souhaitant s’initier à la pratique de MS Project pour la planification des étapes d’un projet</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0322,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,initiation au langage python 3 fad,12 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une connaissance de base d’un système d’exploitation et utilisation élémentaire du courrier électronique.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs d'applications</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0324,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,creer une campagne d emailing professionnelle et efficace avec mailchimp,7 Heures,NON,NON,travailleur,"<ul>
<li>Avoir des connaissances de base en HTML/CSS ne sont pas indispensables mais souhaitées.</li>
<li>Les participants peuvent utiliser un compte MailChimp pré-existant ou le créer lors de la formation.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux chargés de communication, rédacteurs web, e-marketeurs, responsables marketing, fournisseurs de contenus. Toutes personnes impliquées dans une stratégie de marketing, entrepreneurs, chefs d’entreprise</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0327,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,comment utiliser linkedin pour doper votre business,14 Heures,NON,NON,travailleur,"Cette formation s’adresse à des participants disposant d’un niveau tant débutant qu’intermédiaire. En fonction des attentes des participants, cette formation pourra également abordé d’autres points afin de devenir la plus sur-mesure possible.
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux travailleurs (Indépendants, employés, TPE, PME, etc.), recruteurs, responsables RH, digital marketeurs, community managers, chargés de communication, chefs d’entreprise, marketing managers</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0329,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,google analytics 4,14 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une bonne connaissance de Google Analytics 3 ( Google Universal Analytics) est conseillée.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux cadres, cadres dirigeants, directeurs de TPE-PME, responsables de projets Web, webmasters, responsables marketing</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0331,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,le community management en pratique creer et developper une communaute en ligne,7 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux community managers, rédacteurs web, webmasters éditorial, cadres commercial, e-marketeurs, gestionnaires de projet e-commerce</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0332,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,introduction a la business intelligence,21 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux personnes intéressées par la business intelligence</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0333,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,administration et deploiement d office 365,35 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux personnes en charge du déploiement et/ou de la gestion quotidienne de Windows</li>
<li>Aux clients dans un environnement professionnel</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0340,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,powerbi avance powerquery,14 Heures,NON,NON,travailleur,"<ul>
<li>Disposer de bonnes connaissances en SQL et en BI ou avoir suivi la formation</li>
</ul>
Interrogation des données : SQL et NoSQL et Principes et concepts de la BI.
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists et bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0348,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,power bi concevez des tableaux de bord complets et interactifs avec power bi,21 Heures,NON,NON,travailleur,"<ul>
<li>Disposer de bonnes connaissances en SQL et en BI ou avoir suivi la formation</li>
</ul>
Interrogation des données : SQL et NoSQL et Principes et concepts de la BI.
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists, bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0096-0001-0350,Cheque-formation,,TECHNOFUTUR TIC,,463962381,Charleroi,realiser une video pour le web avec un smartphone,14 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux personnes ayant envie de créer, de partager et raconter en images, que ce soit à des fins professionnelles ou personnelles et désireux de créer des vidéos de qualité professionnelle avec son smartphone</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
