codeexterne;type_organisme;abreviation;denomination_sociale;denomination_commerciale;numeroidentification;localisation_potentielle;intitule;duree;Courte;moyenne;longue;qualifiante;certifiante;public;condition_specifique
0057-0001-1292;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Gestion du logiciel SketchUp - BASE - FAD;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une connaissance de base du PC</li>
<li>Avoir aucune connaissance de la modélisation 3D n'est requise</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux architectes, constructeurs, ébénistes, designers, décorateurs, coachs en décoration et tout professionnel qui souhaite être capable de modéliser rapidement et de représenter efficacement ses projets en 3D</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1386;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Gestion du logiciel SketchUp - Perfectionnement;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir participé à la formation Sketchup base ou avoir les connaissances assimilées</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux architectes, constructeurs, ébénistes, designers, décorateurs, coachs en décoration et tout professionnel qui souhaite être capable de modéliser rapidement et de représenter efficacement ses projets en 3D</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1437;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Gestion du logiciel Thea Render;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir des connaissances de base du PC</li>
<li>Avoir des connaissances pratique d'un modeleur 3D tel que SketchUp</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux architectes, constructeurs, ébénistes, designers, décorateurs, coachs en décoration et tout professionnel qui souhaite être capable de présenter de manière réaliste ses projets en 3D</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0096-0001-0258;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;Initiation au langage PHP - FAD;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une connaissance du langage HTML</li>
<li>Avoir une connaissance de base de la programmation</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs d'applications</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0096-0001-0322;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;Initiation au langage Python 3 - FAD;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une connaissance de base d’un système d’exploitation et utilisation élémentaire du courrier électronique.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs d'applications</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0406669035-42058;Enseignement pour Adultes;I.T.C.A.T.B.;Institut Technique et Commerciale des Aumoniers du Travail Boussu;;406669035;Boussu;Introduction à la navigation sur Internet;12 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0435037872-25051;Enseignement pour Adultes;I.L.Fo.P.;Institut libre de Formation permanente Namur - Luxembourg;;435037872;Hannut;La recherche d'informations sur Internet;12 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0057-0001-1763;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Le RGPD : nouvelle directive européenne sur la protection des données personnelles;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprise, industriels, cadres, employés en entreprises, titulaires de professions libérales, indépendants et prestataires de services et travailleurs chargés de la protection des données numériques et personnelles dans l’entreprise ou organisme</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1624;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;MAC - Dépannage et maintenance;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir des connaissance de base de l'environnement Apple (MAC).</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés et ouvriers en entreprises, titulaires de professions libérales, indépendants et prestataires de services, informaticiens et travailleurs/utilisateurs d’ordinateur Apple</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1649;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;MAC - Perfectionnement;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir des connaissances de base du matériel Apple et de son utilisation.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprise, industriels, cadres, employés en entreprises, titulaires de professions libérales, indépendants et prestataires de services et travailleurs qui utilisent un ordinateur APPLE</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1648;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;MAC - Prise en main;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés en entreprises, titulaires de professions libérales, indépendants et prestataires de services, utilisateurs d’ordinateurs Apple.</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-2872;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;MAILCHIMP - BASE;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprise, industriels, cadres, employés en entreprises, titulaires de professions libérales, indépendants et prestataires de services et responsables marketing et de stratégie commerciale</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0061-0001-0193;Cheque-formation;AKT - CCILB;AKT - CCI Luxembourg Belge;;413204756;Libramont-Chevigny;Mieux gérer son temps grâce à Outlook.;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée : 

- Tout travailleur qui utilise le logiciel Outlook pour gérer ses e-mails et ses contacts

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-0711;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Migration MS Office et Open Office;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés et ouvriers en entreprises, titulaires de professions libérales, indépendants et prestataires de services</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants,les apprentis et les stagiaires en entreprise ainsi
que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1549;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;ODOO CRM - Customer Relation Management;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux Commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés en entreprises, titulaires de professions libérales, indépendants et prestataires de services, travailleurs qui utilisent d’ERP</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1550;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;ODOO Logistique;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés en entreprises, titulaires de professions libérales, indépendants et prestataires de services, travailleurs qui utilisent l’ERP et qui est en charge de la logistique</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1767;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Organiser sa veille concurrentielle digitale;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Savoir manipuler un ordinateur et un moteur de recherche.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés en entreprises, indépendants, titulaires de professions libérales, prestataires de services, travailleurs qui dans le cadre de leurs activités professionnelles doivent structurer et améliorer leur veille d’informations sur le web</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0021-0001-0028;Cheque-formation;;Centre IFAPME Namur/Brabant wallon;;409139169;Namur;PowerPoint;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une bonne maîtrise de Windows, une bonne connaissance et pratique de Word.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants de PME, industriels, cadres et employés en PME, titulaires de professions libérales et prestataires de services</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1473;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Rédiger sur le web;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir des connaissances de base de l'ordinateur et des moteurs de recherche.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux travailleurs/professionnels amenés à communiquer sur le web : chargés de communication, indépendants, gestionnaire de sites, commerçants, prestataires de service et employés d’entreprises qui dans le cadre de leur activité professionnelle doivent rédiger sur le web</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés,  des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0096-0001-0162;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;Se lancer dans la création d'un site Web - FAD;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une connaissance de base d’un système d’exploitation et utilisation élémentaire du courrier électronique</li>
<li>Le participant doit avoir accès à un ordinateur (PC ou Mac), une connexion Internet haut débit et un navigateur récent (Microsoft Internet Explorer, Mozilla Firefox, Apple Safari, Google Chrome).</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux développeurs et gestionnaires de site Web</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1752;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Solutions collaboratives pour l'entreprise;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Savoir utiliser un ordinateur et internet.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés et ouvriers en entreprises, indépendants, titulaires de professions libérales, prestataires de services, travailleurs qui dans le cadre de leurs activités professionnelles doivent rester en phase avec l’évolution et l’utilisation à bon escient des nouveaux outils multimédias</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1764;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Utilisation du Tableau Blanc Interactif (TBI);12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Savoir manipuler un ordinateur.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux travailleurs indépendants ou salariés d’entreprise amenés à utiliser des tableaux blancs interactifs dans le cadre de leur emploi, d’activités de formation, dans leur entreprise, de présentations</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-1674;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;VISIO - Conception de schémas et diagrammes;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une connaissance de base de l'ordinateur.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés et ouvriers en entreprises, titulaires de professions libérales, indépendants et prestataires de services.</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0061-0001-0178;Cheque-formation;AKT - CCILB;AKT - CCI Luxembourg Belge;;413204756;Libramont-Chevigny;Word de base et liaisons avec Outlook.;12 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée : 

- Aux secrétaires, administratifs, et plus largement toute personne utilisant ce programme

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0207280387-30452;Enseignement pour Adultes;;Commune de Courcelles;;207280387;Courcelles;Compléments de bureautique (Tableur, Excel, Access, Internet/Intranet);120 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
0850029608-25233;Enseignement pour Adultes;;INSTITUT D'ENSEIGNEMENT DE PROMOTION SOCIALE DE LA COMMUNAUTE FRANCAISE DE COLFONTAINE;;850029608;Colfontaine;Dessin assisté par ordinateur en 2 dimensions;120 Heures;NON;OUI;NON;OUI;NON;Chercheur d'emploi;
0850030794-28800;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE DES HAUTS-PAYS;;850030794;Dour;Dessin technique et DAO en construction;120 Heures;NON;OUI;NON;OUI;NON;Chercheur d'emploi;
0850015849-44580;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Grâce-Hollogne;Élément de bureautique;120 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
0850015849-22776;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Grâce-Hollogne;ELEMENTS DE BUREAUTIQUE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0207280387-30470;Enseignement pour Adultes;;Commune de Courcelles;;207280387;Courcelles;Infographie : Image numérique (Photoshop);120 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
0850028123-56784;Enseignement pour Adultes;;INSTITUT D'ENSEIGNEMENT DE PROMOTION SC. DE LA COMMUNAUTE FRANCAISE IEPSCF;;850028123;Waremme;Informatique ;120 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
0850015849-35278;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Ans;Informatique - Maintenance Hardware;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0850015849-35278;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Grâce-Hollogne;Informatique - Maintenance Hardware;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0207299589-25074;Enseignement pour Adultes;;Ville de Binche;;207299589;Binche;INFORMATIQUE : MAINTENANCE HARDWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0207280387-22732;Enseignement pour Adultes;;Commune de Courcelles;;207280387;Courcelles;INFORMATIQUE : MAINTENANCE HARDWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0216697109-22750;Enseignement pour Adultes;;Commune de Sambreville;;216697109;Sambreville;INFORMATIQUE : MAINTENANCE HARDWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0216697109-26120;Enseignement pour Adultes;;Commune de Sambreville;;216697109;Sambreville;INFORMATIQUE : MAINTENANCE HARDWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0207299589-19719;Enseignement pour Adultes;;Ville de Binche;;207299589;Binche;INFORMATIQUE : MAINTENANCE SOFTWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0207280387-22730;Enseignement pour Adultes;;Commune de Courcelles;;207280387;Courcelles;INFORMATIQUE : MAINTENANCE SOFTWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0850015849-53224;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Grâce-Hollogne;INFORMATIQUE : MAINTENANCE SOFTWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0849789383-23578;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE de BLEGNY-PAYS DE HERVE;;849789383;;INFORMATIQUE : MAINTENANCE SOFTWARE;120 Heures;NON;OUI;NON;OUI;OUI;Chercheur d'emploi;
0850015849-28148;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Ans;Informatique: Débutant;120 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
0850015849-28148;Enseignement pour Adultes;;I.E.P.S. FEDERATION WALLONIE-BRUXELLES;;850015849;Grâce-Hollogne;Informatique: Débutant;120 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
